的	〔白勹丶 · unid〕
𪆚	〔⻗云鳥 · tbxn〕
𪆛	〔虍业鳥 · zcxn〕
𪆜	〔禾人氺鳥 · xjkx〕
𪆝	〔子攵鳥 · ghhx〕
𪆞	〔米夕㐄鳥 · plvx〕
𪆟	〔氵束力鳥 · kxsx〕
𪆠	〔宀一口鳥 · wfdx〕
𪆡	〔冖巾鳥 · iwrx〕
𪆢	〔宀心鳥 · whtx〕
𪆣	〔日小鳥 · ogyx〕
𪆤	〔黑鳥 · pxn〕
𪆥	〔鳥穴⺧口 · xeqd〕
𪆦	〔彡頁鳥 · ewxn〕
𪆧	〔鳥走戉 · xpnu〕
𪆨	〔⺿氏日鳥 · lbox〕
𪆩	〔小尤鳥 · gyox〕
𪆪	〔士冖一鳥 · gwfx〕
𪆫	〔鳥氵匚木 · xkne〕
𪆬	〔鳥⻊各 · xpsg〕
𪆭	〔鳥𦘒 · xbaa〕
𪆮	〔鳥宀心皿 · xwha〕
𪆯	〔曲辰鳥 · yfxn〕
𪆰	〔⺿曰勹鳥 · lonx〕
𪆱	〔金鳥 · bzxn〕
𪆲	〔覀貝鳥 · voxn〕
𪆳	〔鳥隹 · xumk〕
𪆴	〔⺿癶一鳥 · lhfx〕
𪆵	〔氵木人鳥 · kejx〕
𪆶	〔歺又米鳥 · grpx〕
𪆷	〔金且鳥 · zfxn〕
𪆸	〔氵骨鳥 · kfxn〕
𪆹	〔冎口辶鳥 · fdux〕
𪆺	〔虍豕鳥 · zjxn〕
𪆻	〔⺈厂八鳥 · xxhx〕
𪆼	〔田鳥 · tqxn〕
𪆽	〔⻊各鳥 · psxn〕
𪆾	〔口⺸鳥 · gdgx〕
𪆿	〔厂言鳥 · ixsx〕
𪇀	〔支鳥 · hcxn〕
𪇁	〔田鳥 · sqxn〕
𪇂	〔士冖火鳥 · gwcx〕
𪇃	〔覀示几鳥 · vfox〕
𪇄	〔士冖一鳥 · gwfx〕
𪇅	〔鳥艹戊口 · xlnd〕
𪇆	〔鳥罒勹虫 · xync〕
𪇇	〔亼口口鳥 · jddx〕
𪇈	〔爫冖心鳥 · ywhx〕
𪇉	〔亠乡隹鳥 · ziux〕
𪇊	〔鳥尸口辛 · xcdn〕
𪇋	〔鳥山鬼 · xvag〕
𪇌	〔鳥曲辰 · xyfc〕
𪇍	〔鳥冎口辶 · xfdu〕
𪇎	〔木木示鳥 · eefx〕
𪇏	〔一田一鳥 · fqfx〕
𪇐	〔鳥䒑大 · xhsm〕
𪇑	〔千黑鳥 · lpxn〕
𪇒	〔米龶⺝鳥 · pavx〕
𪇓	〔卝罒冖鳥 · lywx〕
𪇔	〔䒑幺幺鳥 · hiix〕
𪇕	〔宀一鳥 · wfsx〕
𪇖	〔臣𠂉一鳥 · qefx〕
𪇗	〔士冖禾鳥 · gwxx〕
𪇘	〔士乛工鳥 · gaux〕
𪇙	〔⺮大鳥 · rmgx〕
𪇚	〔示日一鳥 · fofx〕
𪇛	〔广乡隹鳥 · xiux〕
𪇜	〔⺿宀丰鳥 · lwax〕
𪇝	〔人⺈鳥 · jxxx〕
𪇞	〔壴皮鳥 · hrxn〕
𪇟	〔士谷鳥 · gchx〕
𪇠	〔廿口人鳥 · ldjx〕
𪇡	〔卝隹又鳥 · lurx〕
𪇢	〔⺮勹米鳥 · rnpx〕
𪇣	〔身身鳥 · zzxn〕
𪇤	〔夕鳥 · lxxn〕
𪇥	〔鳥方𠂉 · xleh〕
𪇦	〔虍隹鳥 · zuxn〕
𪇧	〔宀貝鳥 · wcox〕
𪇨	〔鳥艹氵甫 · xlkn〕
𪇩	〔金艮鳥 · zixn〕
𪇪	〔扌冂鳥 · uimx〕
𪇫	〔鳥鬼斗 · xajd〕
𪇬	〔一ㄅ鳥 · pfax〕
𪇭	〔艹示鳥 · lhfx〕
𪇮	〔广里八鳥 · xdhx〕
𪇯	〔羽人彡鳥 · zjex〕
𪇰	〔日龷八鳥 · olhx〕
𪇱	〔白幺幺鳥 · uiix iuie〕
𪇲	〔𡭔隹戈鳥 · yupx〕
𪇳	〔鳥⺮戊口 · xrnd〕
𪇴	〔卝罒戊鳥 · lynx〕
𪇵	〔广黃鳥 · xnxn〕
𪇶	〔氵隹灬鳥 · kucx〕
𪇷	〔鳥㠯辛 · xskn〕
𪇸	〔虍田心鳥 · zqhx〕
𪇹	〔巛鳥 · opxn〕
𪇺	〔禾人氺鳥 · xjkx〕
𪇻	〔言隹鳥 · suxn〕
𪇼	〔廿口土鳥 · ldgx〕
𪇽	〔廿口夫鳥 · ldhx〕
𪇾	〔一鹿鳥 · fcxx〕
𪇿	〔𤕫亻隹鳥 · ajux〕
𪈀	〔口口田鳥 · ddqx〕
𪈁	〔⺮戊一鳥 · rnfx〕
𪈂	〔魚日鳥 · woxn〕
𪈃	〔口十鳥 · gdnx〕
𪈄	〔予丿冂鳥 · itmx〕
𪈅	〔⺮勹土鳥 · rngx〕
𪈆	〔卝罒冖鳥 · lywx〕
𪈇	〔金戈戈鳥 · zppx〕
𪈈	〔束頁鳥 · xwxn〕
𪈉	〔一小鳥 · qfyx〕
𪈊	〔鬲羽鳥 · nzxn〕
𪈋	〔口⺸鳥 · gdgx〕
𪈌	〔犭罒勹鳥 · mynx〕
𪈍	〔人不口鳥 · jcdx〕
𪈎	〔束刀貝鳥 · xpox〕
𪈏	〔廿口鳥 · ldax ladx〕
𪈐	〔束刀貝鳥 · xpox〕
𪈑	〔⻗日勹鳥 · tonx〕
𪈒	〔鳥虍田皿 · xzqa〕
𪈓	〔⺮土鳥 · rggx〕
𪈔	〔乂乂鳥 · pbbx〕
𪈕	〔人一鳥 · jffx〕
𪈖	〔山丿㠯鳥 · vtkx〕
𪈗	〔龍鳥 · txn〕
𪈘	〔卝罒冖鳥 · lywx〕
𪈙	〔鳥⺿丿辛 · xltn〕
𪈚	〔日屮凵鳥 · osmx〕
𪈛	〔卝罒冖鳥 · lywx〕
𪈜	〔糹鳥 · ikox〕
𪈝	〔口口鳥 · tddx〕
𪈞	〔士冖豆鳥 · gwzx〕
𪈟	〔⺿丿㠯鳥 · ltkx〕
𪈠	〔广亻隹鳥 · xjux〕
𪈡	〔山犭言鳥 · vmsx〕
𪈢	〔⺮土鳥 · rggx〕
𪈣	〔⺮勹亠鳥 · rnzx〕
𪈤	〔鳥貝貝女 · xoob〕
𪈥	〔山隹冂鳥 · vumx〕
𪈦	〔田田田鳥 · qqqx〕
𪈧	〔⺿千黑鳥 · llpx〕
𪈨	〔鳥身鳥 · xzxn〕
𪈩	〔鳥艹口隹 · xldu〕
𪈪	〔自人人鳥 · ojjx〕
𪈫	〔鳥日屮米 · xosp〕
𪈬	〔身鳥鳥 · zxxn〕
𪈭	〔艹臣鳥 · lqrx〕
𪈮	〔糹言糸鳥 · isix〕
𪈯	〔氵⻗隹鳥 · ktux〕
𪈰	〔罒糹隹鳥 · yiux〕
𪈱	〔目目亻鳥 · qqjx〕
𪈲	〔广隹隹鳥 · xuux〕
𪈳	〔鳥一鹿 · xfvx〕
𪈴	〔目目隹鳥 · qqux〕
𪈵	〔勹人丨鳥 · njgx〕
𪈶	〔鳥日攵 · xgoh〕
𪈷	〔日⺸鳥 · gogx〕
𪈸	〔氵艹口鳥 · kldx〕
𪈹	〔一冂人鳥 · fmjx〕
𪈺	〔尸氺罒鳥 · ckyx〕
𪈻	〔木艹口鳥 · eldx〕
𪈼	〔鳥鳥鳥 · xxxn〕
𪈽	〔言糹糹鳥 · siix〕
𪈾	〔广亻隹鳥 · xjux〕
𪈿	〔言糹糹鳥 · siix〕
𪉀	〔田田田田 · qqqq〕
𪉁	〔鸟欠 · xeq〕
𪉂	〔云鸟 · bxn〕
𪉃	〔文鸟 · vxn〕
𪉄	〔斤丶鸟 · tixn〕
𪉅	〔弋工鸟 · puxn〕
𪉆	〔匕日鸟 · voxn〕
𪉇	〔鸟戊一 · xnfi〕
𪉉	〔广土鸟 · xgxn〕
𪉊	〔亻十鸟 · jvnx〕
𪉋	〔夕㐄鸟 · lvxn〕
𪉌	〔一氺丶鸟 · fkix〕
𪉍	〔禾几鸟 · xoxn〕
𪉎	〔氏日鸟 · boxn〕
𪉏	〔甘木鸟 · zexn〕
𪉐	〔田⽱鸟 · qvxn〕
𪉑	〔龶攵鸟 · aphx〕
𪉒	〔王王鸟 · npnx pnnx〕
𪉓	〔鸟鸟鸟 · xxxn〕
𪉔	〔丿囗乂鸟 · trbx〕
𪉕	〔鸟⺮戊口 · xrnd〕
𪉖	〔⺊囗土 · yrpg〕
𪉗	〔⺊囗大 · yrpm〕
𪉘	〔⺊囗殳 · yrpr〕
𪉙	〔⺊囗一 · yrpf〕
𪉚	〔⺊囗毛 · yrpv〕
𪉛	〔⺊囗几 · yrpo〕
𪉜	〔⺊囗口 · yrpd〕
𪉝	〔予丿⺊ · ityp〕
𪉞	〔⺊囗十 · yrpn〕
𪉟	〔⺊囗皿 · yrpa〕
𪉠	〔⺊囗戊 · yrpn〕
𪉡	〔⺊囗丶 · yrpi〕
𪉢	〔⺊囗十 · yrpn〕
𪉣	〔⺊囗豆 · yrpz〕
𪉤	〔⺶⺊囗 · gyrp〕
𪉥	〔⺊囗母 · yrpk〕
𪉦	〔⺊囗臼 · yrpp〕
𪉧	〔⺊囗火 · yrpc〕
𪉨	〔⺊囗曰 · yrpo〕
𪉩	〔土⺊囗皿 · gyra〕
𪉪	〔⺊囗 · yrpu〕
𪉫	〔⺊囗十 · yrpn〕
𪉬	〔⺶乚⺊ · gayp〕
𪉭	〔⺊囗 · yrpt〕
𪉮	〔⺊囗大 · yrpm〕
𪉯	〔⺊囗㇗ · yrpa〕
𪉰	〔⺊囗刂 · yrpp〕
𪉱	〔⺊囗 · yrpi〕
𪉲	〔⺊囗十 · yrpn〕
𪉳	〔戊一口 · nfdp〕
𪉴	〔⺊囗木 · yrpe〕
𪉵	〔⺶工⺊ · guyp〕
𪉶	〔⺊囗皿 · yrpa〕
𪉷	〔⺊囗亅 · yrpg〕
𪉸	〔⺊囗皿 · yrpa〕
𪉹	〔土𠂉⺊皿 · geya〕
𪉺	〔⺊囗生 · yrpl〕
𪉻	〔山宀示 · vwfp〕
𪉼	〔⺊囗又 · yrpr〕
𪉽	〔⺊囗又 · yrpr〕
𪉾	〔⺊囗攵 · yrph〕
𪉿	〔⺊囗攵 · yrph〕
𪊀	〔⺊囗口 · yrpd〕
𪊁	〔亻人人 · jjjp〕
𪊂	〔⺊囗日 · yrpo〕
𪊃	〔⺊囗鬼 · yrpa〕
𪊄	〔⺊囗心 · yrph〕
𪊅	〔⺊囗示 · yrpf〕
𪊆	〔⺊囗齊 · yrpq〕
𪊇	〔⺊囗皿 · yrpa〕
𪊈	〔⺊囗工 · yrpu〕
𪊉	〔⺊囗水 · yrpk〕
𪊊	〔⺊囗一 · yrpf〕
𪊋	〔几 · xoj〕
𪊌	〔鹿九 · xkj〕
𪊍	〔鹿巳 · xvs〕
𪊎	〔鹿夊 · xhi〕
𪊏	〔鹿犬 · xmq〕
𪊐	〔鹿夫 · xhf〕
𪊑	〔鹿一廾 · xflc〕
𪊒	〔鹿⺝ · xvy〕
𪊓	〔鹿文 · xvw〕
𪊔	〔二 · xmpd〕
𪊕	〔鹿匕 · xvvb〕
𪊖	〔勹 · xnes〕
𪊗	〔鹿手 · xus〕
𪊘	〔鹿 · xti〕
𪊙	〔文 · xvw〕
𪊚	〔鹿巴 · xmb〕
𪊛	〔鹿幺力 · xisl〕
𪊜	〔鹿木一 · xefi〕
𪊝	〔𠂇又丶 · xnri〕
𪊞	〔鹿石 · xms〕
𪊟	〔生 · xls〕
𪊠	〔匕鹿 · avxl〕
𪊡	〔勹巳 · xnvs〕
𪊢	〔鹿矢 · xos〕
𪊣	〔鹿目 · xqm〕
𪊤	〔鹿匚コ · xnnk〕
𪊥	〔鹿一日一 · xfof〕
𪊦	〔鹿囗大 · xrmd〕
𪊧	〔鹿土土 · xggt〕
𪊨	〔鹿匕日 · xvor〕
𪊩	〔鹿一艹十 · xfln〕
𪊪	〔鹿⺁一口 · xxfd〕
𪊫	〔鹿而 · xle〕
𪊬	〔鹿衣 · xti〕
𪊭	〔㐅𠂇厶 · xbnk〕
𪊮	〔鹿羽 · xzv〕
𪊯	〔鹿牜匕 · xqvb〕
𪊰	〔鹿自 · xoi〕
𪊱	〔鹿㐅𠂇厶 · xbnk〕
𪊲	〔鹿各 · xsg〕
𪊳	〔鹿亠 · xzch〕
𪊴	〔鹿厶儿夊 · xkph〕
𪊵	〔鹿一巛工 · xfou〕
𪊶	〔㇒士廴 · xtgu〕
𪊷	〔耂子 · xqhi〕
𪊸	〔人 · xjxh〕
𪊹	〔鹿且力 · xfsl〕
𪊺	〔文口 · xvdk〕
𪊻	〔鹿皿八 · xahb〕
𪊼	〔鹿囗斤 · xrtj〕
𪊽	〔鹿囗木 · xrem〕
𪊾	〔鹿貝 · xob〕
𪊿	〔鹿谷 · xhg〕
𪋀	〔鹿車 · xyc〕
𪋁	〔鹿豕 · xjs〕
𪋂	〔鹿牜土 · xqgt〕
𪋃	〔鹿冫口儿 · xwdp〕
𪋄	〔鹿耳又 · xqry〕
𪋅	〔鹿宀夕⺋ · xwlz〕
𪋆	〔鹿日匕 · xovv〕
𪋇	〔鹿隹 · xui〕
𪋈	〔鹿弓𠂉小 · xbey〕
𪋉	〔鹿 · xtv〕
𪋊	〔鹿田木 · xqem〕
𪋋	〔鹿丿干 · xtee〕
𪋌	〔亠人十 · xzjn〕
𪋍	〔巛田鹿 · oqxl〕
𪋎	〔鹿山幺幺 · xvii〕
𪋏	〔鹿耂日 · xqor〕
𪋐	〔鹿而大 · xlmd〕
𪋑	〔耂日 · xqor〕
𪋒	〔禾日 · xxor〕
𪋓	〔鹿口口口 · xddd〕
𪋔	〔鹿亠曰小 · xzoy〕
𪋕	〔鹿又 · xpry〕
𪋖	〔⺇丿虫 · xotc〕
𪋗	〔鹿米辶 · xpuc〕
𪋘	〔一冂人鹿 · fmjx〕
𪋙	〔鹿厂巾巾 · xxrr〕
𪋚	〔鹿立亽龴 · xijk〕
𪋛	〔鹿⺿日十 · xlon〕
𪋜	〔鹿田艹 · xqlu〕
𪋝	〔鹿束辶 · xxuc〕
𪋞	〔鳥 · xxn〕
𪋟	〔音十 · xxns〕
𪋠	〔鹿日里 · xodl〕
𪋡	〔业⺶㇏ · xcgi〕
𪋢	〔鹿豕目 · xjqm〕
𪋣	〔鹿而而 · xlle〕
𪋤	〔木乂乂鹿 · ebbx〕
𪋥	〔鹿日一里 · xofd〕
𪋦	〔鹿口口口 · xddd〕
𪋧	〔鹿身矢 · xzos〕
𪋨	〔八刀一鹿 · hpfx〕
𪋩	〔鹿禾人氺 · xxjk〕
𪋪	〔鹿亼龴 · xtjk〕
𪋫	〔业羊八 · xcgh〕
𪋬	〔鹿虍口大 · xzdm〕
𪋭	〔一一龴 · fvfk〕
𪋮	〔一 · xpfh〕
𪋯	〔而 · xtle〕
𪋰	〔罒耂日 · xyqo〕
𪋱	〔鹿臼豕 · xpjs〕
𪋲	〔火火㐄 · xccv〕
𪋳	〔鹿一业 · xtfc〕
𪋴	〔几一鳥 · xofx〕
𪋵	〔鹿氺氺 · xbkk〕
𪋶	〔⻗口口 · xtdd〕
𪋷	〔米四㐄 · xpyv〕
𪋸	〔山隹口 · xvud〕
𪋹	〔鹿口口攵 · xddh〕
𪋺	〔鹿鬼而 · xatl〕
𪋻	〔鹿鹿鹿土 · xxxg〕
𪋼	〔木人人匕 · ejjv〕
𪋽	〔木人人ㄅ · ejja〕
𪋾	〔木人人力 · ejjs〕
𪋿	〔木人人卜 · ejjy〕
𪌀	〔木人人了 · ejjr〕
𪌁	〔木人人亡 · ejjf〕
𪌂	〔木人人七 · ejjr〕
𪌃	〔木人人干 · ejje〕
𪌄	〔木人人巳 · ejjv〕
𪌅	〔木人人人 · ejjj〕
𪌆	〔木人人又 · ejjr〕
𪌇	〔木人人气 · ejjv〕
𪌈	〔木人人匕 · ejjv〕
𪌉	〔木人人斗 · ejjj〕
𪌊	〔木人人人 · ejjj〕
𪌋	〔木人人 · ejjs〕
𪌌	〔木人人火 · ejjc〕
𪌍	〔木人人斤 · ejjt〕
𪌎	〔木人人木 · ejje〕
𪌏	〔木人人攴 · ejjh〕
𪌐	〔木人人手 · ejju〕
𪌑	〔木人人攵 · ejjh〕
𪌒	〔木人人欠 · ejje〕
𪌓	〔木人人殳 · ejjr〕
𪌔	〔木人人目 · ejjq〕
𪌕	〔木人人口 · ejjd〕
𪌖	〔木人人コ · ejjn〕
𪌗	〔木人人禾 · ejjx〕
𪌘	〔木人人王 · ejjn〕
𪌙	〔木人人戊 · ejjn〕
𪌚	〔木人人廾 · ejjl〕
𪌛	〔木人人㠯 · ejjk〕
𪌜	〔木人人生 · ejjl〕
𪌝	〔木人人戉 · ejjn〕
𪌞	〔木人人丶 · ejji〕
𪌟	〔木人人乍 · ejjw〕
𪌠	〔木人人山 · ejjv〕
𪌡	〔木人人几 · ejjo〕
𪌢	〔木人人口 · ejjd〕
𪌣	〔木人人各 · ejjs〕
𪌤	〔木人人㠯 · ejjk〕
𪌥	〔木人人厶 · ejjk〕
𪌦	〔木人人口 · ejjd〕
𪌧	〔木人人口 · ejjd〕
𪌨	〔山尸木夂 · vceh〕
𪌩	〔木人人舌 · ejja〕
𪌪	〔木人人 · ejjw〕
𪌫	〔木人人夕 · ejjl〕
𪌬	〔木人人米 · ejjp〕
𪌭	〔木人人⺼ · ejjv〕
𪌮	〔木人人丿 · ejjt〕
𪌯	〔木人人⺼ · ejjv〕
𪌰	〔木人人子 · ejjh〕
𪌱	〔木人人刂 · ejjp〕
𪌲	〔木人夂 · pejh〕
𪌳	〔木人人寸 · ejjk〕
𪌴	〔木人人土 · ejjg〕
𪌵	〔木人人丶 · ejji〕
𪌶	〔木人人束 · ejjx〕
𪌷	〔木人人 · ejjs〕
𪌸	〔木人人牛 · ejjq〕
𪌹	〔木人人巾 · ejjr〕
𪌺	〔木人人口 · ejjd〕
𪌻	〔木人人 · ejjt〕
𪌼	〔木人人缶 · ejja〕
𪌽	〔木人人匕 · ejjv〕
𪌾	〔木人人田 · ejjq〕
𪌿	〔木人人心 · ejjh〕
𪍀	〔木人人 · ejjh〕
𪍁	〔木人人禾 · ejjx〕
𪍂	〔木人人工 · ejju〕
𪍃	〔木人人心 · ejjh〕
𪍄	〔木人人氺 · ejjk〕
𪍅	〔木人人 · ejjv〕
𪍆	〔木人人 · ejjp〕
𪍇	〔木人人隹 · ejju〕
𪍈	〔木人人十 · ejjn〕
𪍉	〔木人人丿 · ejjt〕
𪍊	〔木人人 · ejjt〕
𪍋	〔木人人丿 · ejjt〕
𪍌	〔木人人口 · ejjd〕
𪍍	〔木人人刂 · ejjp〕
𪍎	〔木人人斗 · ejjj〕
𪍏	〔木人人貝 · ejjo〕
𪍐	〔木人人木 · ejje〕
𪍑	〔木人人酉 · ejjy〕
𪍒	〔木人人月 · ejjv〕
𪍓	〔予丿攵夂 · ithh〕
𪍔	〔木人人艮 · ejji〕
𪍕	〔木人人貝 · ejjo〕
𪍖	〔木人人生 · ejjl〕
𪍗	〔木人人火 · ejjc〕
𪍘	〔木人人攵 · ejjh〕
𪍙	〔木人人老 · ejjq〕
𪍚	〔木人人木 · ejje〕
𪍛	〔木人人⺼ · ejjv〕
𪍜	〔木人人匕 · ejjv〕
𪍝	〔木人人皿 · ejja〕
𪍞	〔木人人田 · ejjq〕
𪍟	〔木人人糸 · ejji〕
𪍠	〔士冖一夂 · gwfh〕
𪍡	〔木人人寸 · ejjk〕
𪍢	〔木人人殳 · ejjr〕
𪍣	〔木人人女 · ejjb〕
𪍤	〔木人人大 · ejjm〕
𪍥	〔木人人殳 · ejjr〕
𪍦	〔木人人辶 · ejju〕
𪍧	〔方𠂉疋夂 · leth〕
𪍨	〔木人人木 · ejje〕
𪍩	〔木人人又 · ejjr〕
𪍪	〔木人人 · ejju〕
𪍫	〔予丿夂夂 · ithh〕
𪍬	〔木人人丿 · ejjt〕
𪍭	〔木人人豕 · ejjj〕
𪍮	〔木人人攵 · ejjh〕
𪍯	〔木人人糸 · ejji〕
𪍰	〔木人人人 · ejjj〕
𪍱	〔士殳夂 · gcrh〕
𪍲	〔木人人曰 · ejjo〕
𪍳	〔木人人⺼ · ejjv〕
𪍴	〔木人人㐄 · ejjv〕
𪍵	〔木人人十 · ejjn〕
𪍶	〔木人人口 · ejjd〕
𪍷	〔木人人口 · ejjd〕
𪍸	〔木人人豕 · ejjj〕
𪍹	〔木人人虫 · ejjc〕
𪍺	〔木人人 · ejjt〕
𪍻	〔口口口夂 · dddh〕
𪍼	〔木人人口 · ejjd〕
𪍽	〔木人人木 · ejje〕
𪍾	〔屮凵方夂 · smlh〕
𪍿	〔木人人黃 · ejjn〕
𪎀	〔木人人工 · ejju〕
𪎁	〔龍木人夂 · tejh〕
𪎂	〔木人人人 · ejjj〕
𪎃	〔艹丿㠯夂 · ltkh〕
𪎄	〔木人人寸 · ejjk〕
𪎅	〔木人人生 · ejjl〕
𪎆	〔木人人隹 · ejju〕
𪎇	〔业臼夂 · cgph〕
𪎈	〔龶夂弋 · ahpi〕
𪎉	〔龶夂见 · ahej〕
𪎋	〔龶夂⺊口 · ahyd〕
𪎌	〔龶夂未丷 · ahah〕
𪎍	〔龶夂卜 · ahyb〕
𪎎	〔龶夂靣 · ahbm〕
𪎏	〔龶夂宀示 · ahwf〕
𪎐	〔龶夂艹巾 · ahlr〕
𪎑	〔麻几 · zoj〕
𪎒	〔⿇几丶 · zoid〕
𪎓	〔彳⿇ · wzm〕
𪎔	〔⿇弓 · zbg〕
𪎕	〔⿇八刀 · zhpd〕
𪎖	〔⿇火 · zch〕
𪎗	〔⿇日 · zor〕
𪎘	〔⿇攴 · zhp〕
𪎙	〔麻一廾 · zflc〕
𪎚	〔⿇手 · zus〕
𪎛	〔⿇夕⺋ · zlzj〕
𪎜	〔⿇日乚 · zoae〕
𪎝	〔⿇木一 · zefi〕
𪎞	〔⿇大 · zmmd〕
𪎟	〔⿇田 · zqt〕
𪎠	〔⿇夕夕 · zllx〕
𪎡	〔⿇丿未 · ztaw〕
𪎢	〔⿇西 · zvx〕
𪎣	〔麻 · zboc〕
𪎤	〔氵丿大⿇ · ktmz〕
𪎥	〔⿇日勹 · zone〕
𪎦	〔⿇木木 · zeem〕
𪎧	〔⿇日勹 · zone〕
𪎨	〔人月刂⿇ · jvpz〕
𪎩	〔麻冎口 · zfdk〕
𪎪	〔⿇勹 · znss〕
𪎫	〔⿇人 · zrjr〕
𪎬	〔⿇匕貝 · zvvo〕
𪎭	〔⿇禾人氺 · zxjk〕
𪎮	〔⿇手 · zrus〕
𪎯	〔⿇貝 · zcob〕
𪎰	〔⿇十艹貝 · znlo〕
𪎱	〔麻⻗而 · ztle〕
𪎲	〔业臼⿇ · cgpz〕
𪎳	〔黃又 · nry〕
𪎴	〔黃丿七 · ntrq〕
𪎵	〔黃亠几 · nzoj〕
𪎶	〔黃一 · nfsc〕
𪎷	〔黄毛 · nvm〕
𪎸	〔黄冖几 · nwoj〕
𪎹	〔黃二儿 · nmpe〕
𪎺	〔黃斤丶 · ntid〕
𪎻	〔黃乛水一 · nakf〕
𪎼	〔冂一口黄 · mfdn〕
𪎽	〔黃一厶儿 · nfkp〕
𪎾	〔黃 · nas〕
𪎿	〔黄而 · nle〕
𪏀	〔黄至 · nyi〕
𪏁	〔黃六乂 · nabi〕
𪏂	〔黃干火 · nech〕
𪏃	〔黃一火 · nfnc〕
𪏄	〔黃豆 · nzd〕
𪏅	〔黄一巛工 · nfou〕
𪏆	〔子黃 · ghnh〕
𪏇	〔黃戈口㇀ · npdf〕
𪏈	〔黃龷日 · nlor〕
𪏉	〔黃宀疋 · nwts〕
𪏊	〔黃戈戈 · nppg〕
𪏋	〔黃火火 · ncch〕
𪏌	〔黃隹 · nui〕
𪏍	〔月几黃 · vhon〕
𪏎	〔⺆土口黃 · mgdn〕
𪏏	〔黄虍丁 · nzad〕
𪏐	〔黄虎 · nzh〕
𪏑	〔白巾黃 · urnh〕
𪏒	〔白丿十黄 · utnn〕
𪏓	〔白王黃 · unnh〕
𪏔	〔黃頁 · nwy〕
𪏕	〔黃冖車 · nwyc〕
𪏖	〔黃已而 · nvle〕
𪏗	〔黄户 · nmic〕
𪏘	〔黃千里 · nldl〕
𪏙	〔士冖一殳 · gwfr gwfn〕
𪏚	〔黃口貝 · ndob〕
𪏛	〔黃厶⺼匕 · nkvv〕
𪏜	〔丶王黄王 · innn〕
𪏝	〔黃烏 · nxu〕
𪏞	〔黃弋口彡 · npde〕
𪏟	〔黄艹日大 · nlom〕
𪏠	〔黄⺈用水 · nxtk〕
𪏡	〔黃言斗 · nsjd〕
𪏢	〔黄广氺 · nxbk〕
𪏣	〔黄匚コ而 · nnnl〕
𪏤	〔黃戈口心 · npdh〕
𪏥	〔龷艹黃 · llun〕
𪏦	〔黃禾人氺 · nxjk〕
𪏧	〔黃羽人氺 · nzjk〕
𪏨	〔黃曲豆 · nyzd〕
𪏩	〔黄山而火 · nvlc〕
𪏪	〔黄广黄 · nxnh〕
𪏫	〔黄屮凵示 · nsmf〕
𪏬	〔乂乂黃 · pbbn〕
𪏭	〔禾刂人氺 · xpjk〕
𪏮	〔禾人氺女 · xjkb〕
𪏯	〔禾人氺 · xjkp〕
𪏰	〔禾人氺日 · xjko〕
𪏱	〔禾人氺ㄅ · xjka〕
𪏲	〔禾人氺土 · xjkg〕
𪏳	〔禾人氺彑 · xjkb〕
𪏴	〔禾人氺斤 · xjkt〕
𪏵	〔禾人氺 · xjke〕
𪏶	〔禾人氺巳 · xjkv〕
𪏷	〔女又禾氺 · brxk〕
𪏸	〔禾人氺 · xjkv〕
𪏹	〔禾人氺 · xjkn〕
𪏺	〔禾人氺丿 · xjkt〕
𪏻	〔禾人氺古 · xjkc〕
𪏼	〔禾人氺女 · xjkb〕
𪏽	〔禾人氺甘 · xjkz〕
𪏾	〔禾人氺女 · xjkb〕
𪏿	〔禾人氺未 · xjka〕
𪐀	〔禾人氺夕 · xjkl〕
𪐁	〔禾人氺心 · xjkh〕
𪐂	〔禾人氺⺋ · xjkz〕
𪐃	〔禾人氺 · xjku〕
𪐄	〔禾人氺十 · xjkn〕
𪐅	〔禾禾氺 · xpxk〕
𪐆	〔禾人氺㡀 · xjkf〕
𪐇	〔禾人氺心 · xjkh〕
𪐈	〔禾人氺里 · xjkd〕
𪐉	〔禾人氺月 · xjkv〕
𪐊	〔禾人氺心 · xjkh〕
𪐋	〔禾人氺 · xjkc〕
𪐌	〔禾人氺口 · xjkd〕
𪐍	〔禾人氺辶 · xjku〕
𪐎	〔禾人氺⿇ · xjkz〕
𪐏	〔禾人氺古 · xjkc〕
𪐐	〔禾人氺氺 · xjkk〕
𪐑	〔禾人氺禸 · xjkv〕
𪐒	〔禾人氺夊 · xjkh〕
𪐓	〔禾人氺束 · xjkx〕
𪐔	〔禾人氺辶 · xjku〕
𪐕	〔士殳甘 · gcrz〕
𪐖	〔禾人氺龍 · xjkt〕
𪐗	〔𪐗 · ph〕
𪐘	〔黑乙 · pai〕
𪐙	〔黑卜 · pyb〕
𪐚	〔黑一ㄅ · pfae〕
𪐛	〔黑刀 · ppd〕
𪐜	〔黑𠂉乙 · peai〕
𪐝	〔黑大 · pmd〕
𪐞	〔黑丿七 · ptrq〕
𪐟	〔黑九丶 · pkid〕
𪐠	〔黑丿七 · ptrq〕
𪐡	〔大黑 · mph〕
𪐢	〔黑士 · pgs〕
𪐣	〔黑子 · phi〕
𪐤	〔黑尤 · poy〕
𪐥	〔黑大丶 · pmid〕
𪐦	〔黑亠几 · pzoj〕
𪐧	〔黑予 · piv〕
𪐨	〔黑冖几 · pwoj〕
